restaurant_id,restaurant_link
26794670,"https://www.google.com/maps/place/Ph%E1%BB%9F+Vi%E1%BB%87t+Nam/@10.7713913,106.693559,17z/data=!3m1!4b1!4m6!3m5!1s0x31752fba354e2425:0xa794a1a48ee7a0ca!8m2!3d10.771386!4d106.6961339!16s%2Fg%2F11sbfdzrgc?hl=vi&entry=ttu&g_ep=EgoyMDI1MDYwMy4wIKXMDSoASAFQAw%3D%3D"
26681281,"https://www.google.com/maps/place/BAIETA+Restaurant+Saigon+Thao+Dien/@10.8029833,106.7246931,17z/data=!3m1!4b1!4m6!3m5!1s0x3175271f9bf9fd45:0x7404fcd4128a3514!8m2!3d10.802978!4d106.727268!16s%2Fg%2F11svytm6sq?hl=vi&entry=ttu&g_ep=EgoyMDI1MDYwMy4wIKXMDSoASAFQAw%3D%3D"
10721705,"https://www.google.com/maps/place/B%E1%BA%BFp+M%E1%BA%B9+%E1%BB%88n+-+L%C3%AA+Th%C3%A1nh+T%C3%B4n/@10.773862,106.6955049,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f38c6940c73:0x45638362bccc0517!8m2!3d10.7738567!4d106.6980798!16s%2Fg%2F11bzx1njh0?hl=vi&entry=ttu&g_ep=EgoyMDI1MDYwMy4wIKXMDSoASAFQAw%3D%3D"
17704147,https://www.google.com/maps/place/Secret+Garden+2nd+Branch+-+Vietnamese+Restaurant/data=!4m7!3m6!1s0x31752fa911a01b27:0xef3ae6fe4aac5579!8m2!3d10.7703653!4d106.6996626!16s%2Fg%2F11j3w7xzhc!19sChIJJxugEakvdTEReVWsSv7mOu8?authuser=0&hl=vi&rclk=1
15046046,https://www.google.com/maps/place/Kh%C3%A1ch+S%E1%BA%A1n+H%E1%BA%A1nh+Ph%C3%BAc+-+Ph%C3%B2ng+%C4%90%E1%BA%B9p+Gi%C3%A1+R%E1%BA%BB+24%2F24/data=!4m7!3m6!1s0x31752f19dbad8a71:0x6bec3098b601e00c!8m2!3d10.764231!4d106.687441!16s%2Fg%2F1tdpp4ll!19sChIJcYqt2xkvdTERDOABtpgw7Gs?authuser=0&hl=vi&rclk=1
8537757,"https://www.google.com/maps/place/Latest+Recipe+-+Le+M%C3%A9ridien+Saigon/@10.7799942,106.7047647,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f34a0e8f65d:0x647828e96d7ddb54!8m2!3d10.7799889!4d106.7073396!16s%2Fg%2F11fm41vsc_?hl=vi&entry=ttu&g_ep=EgoyMDI1MDYwMy4wIKXMDSoASAFQAw%3D%3D"
7057524,https://www.google.com/maps/place/Elixir+Lounge+Bar/data=!4m7!3m6!1s0x31752f4ecea30d69:0xfa4d11b847cc6fe2!8m2!3d10.781446!4d106.706108!16s%2Fg%2F11dfj0r7_3!19sChIJaQ2jzk4vdTER4m_MR7gRTfo?authuser=0&hl=vi&rclk=1
18927790,
17662928,
19354552,
10317597,
3354073,
15201933,
1717810,
27843772,
15190124,
28156327,
11953280,
27097927,
12134206,
28052069,
25378127,
1742388,
18927790,
17642677,
8039278,
26794670,
9705561,
5484355,
3400060,
15000545,
18206918,
12711227,
4573158,
12180159,
15190124,
26681281,
12820301,
15530843,
6503569,
15180069,
1122944,
26794819,
3741121,
12926285,
13322323,
3682545,
12180159,
2200413,
31913845,
11962759,
14134956,
10060971,
27097927,
13307422,
27157928,
1309266,
2254119,
14027845,
25220822,
8147173,
12699961,
1569216,
5601881,
21167878,
27138077,
28468515,
1232846,
14956206,
28052954,
27097927,
26681281,
13131983,
1741415,
12130500,
23805244,
17115288,
28052954,
1812864,
12703262,
13399767,
2034882,
25547299,
33074106,
3411355,
25132683,
26855274,
19682185,
15190124,
4731745,
10758063,
10865662,
15686405,
27725665,
26223283,
15000626,
25458014,
1122087,
7157553,
5774553,
25269848,
25205051,
25219332,
7361488,
18927790,
27097927,
26794670,
27998958,
6864663,
15338909,
1577234,
13738133,
28052954,
3858605,
32976850,
1928671,
4232534,
8127469,
27514558,
10744326,
7844724,
25579420,
2492572,
12180159,
7793689,
8614066,
26851167,
27523395,
20975162,
32849001,
4475963,
1382250,
17806822,
6601040,
7155150,
7152997,
11887076,
23087722,
7082831,
18927790,
27097927,
26681281,
17122565,
21272060,
1832810,
9706209,
26447081,
15190124,
8530915,
26312250,
24053236,
4475447,
28653584,
6650475,
1008341,
6360239,
25323330,
13417229,
26794670,
1122867,
3330826,
6943007,
33033539,
14090367,
2351312,
26770553,
21165605,
16850048,
1308585,
6501886,
1123421,
1122082,
7886825,
6023325,
28052954,
26681281,
15190124,
25170533,
15239535,
26431965,
1188805,
1122894,
26794670,
12820385,
20086523,
33073949,
7066029,
11885108,
18970750,
25241956,
19647189,
15609350,
11946866,
26794819,
1592499,
12800212,
13089903,
28471196,
4227858,
26794819,
25209955,
32594710,
12369414,
32724138,
26648327,
2629212,
12910177,
13417220,
13614956,
12180159,
15190124,
26681281,
17623254,
24186056,
7134134,
8603404,
11737543,
26794670,
27094166,
19390759,
